"year","engineManufacturerId","positionNumber","positionText","bestStartingGridPosition","bestRaceResult","totalRaceEntries","totalRaceStarts","totalRaceWins","totalRaceLaps","totalPodiums","totalPodiumRaces","totalPoints","totalPolePositions","totalFastestLaps"
2009,"mercedes",1,"1",1,1,17,17,10,5242,21,16,256,10,5
2009,"renault",2,"2",1,1,17,17,6,3381,17,12,179.5,6,8
2009,"ferrari",4,"4",2,1,17,17,1,3266,6,6,78,0,1
2010,"cosworth",6,"6",1,4,19,19,0,6945,0,0,69,1,0
2010,"ferrari",3,"3",1,1,19,19,5,5657,15,11,453,2,5
2010,"mercedes",2,"2",1,1,19,19,5,5910,19,12,736,1,6
2010,"renault",1,"1",1,1,19,19,9,4044,23,14,661,15,8
2011,"cosworth",9,"9",7,9,19,19,0,5588,0,0,5,0,0
2011,"mercedes",2,"2",1,1,19,19,6,6233,18,16,731,1,6
2011,"renault",1,"1",1,1,19,19,12,6107,29,18,723,18,10
2011,"ferrari",3,"3",2,1,19,19,1,6080,10,10,460,0,3
2012,"renault",1,"1",1,1,20,20,9,8526,25,16,839,9,11
2012,"cosworth",11,"11",18,12,20,20,0,3983,0,0,0,0,0
2012,"mercedes",3,"3",1,1,20,20,8,6364,16,13,629,9,7
2012,"ferrari",2,"2",1,1,20,20,3,6470,19,15,552,2,2
2013,"renault",1,"1",1,1,19,19,14,8201,38,19,916,11,14
2013,"cosworth",10,"10",15,13,19,19,0,2101,0,0,0,0,0
2013,"mercedes",2,"2",1,1,19,19,3,6300,9,9,559,8,2
2013,"ferrari",3,"3",2,1,19,19,2,6177,10,9,444,0,3
2014,"renault",2,"2",2,1,19,19,3,7192,12,10,445,0,3
2014,"ferrari",4,"4",4,2,19,19,0,5456,2,2,218,0,1
2014,"mercedes",1,"1",1,1,19,19,16,8333,43,19,1357,19,15
2015,"renault",4,"4",2,2,19,19,0,4090,3,2,254,0,3
2015,"mercedes",1,"1",1,1,19,19,16,7996,38,17,1174,18,13
2015,"ferrari",2,"2",1,1,19,19,3,6071,16,15,464,1,3
2015,"honda",9,"9",9,5,19,19,0,1698,0,0,27,0,0
2016,"ferrari",3,"3",3,2,21,21,0,8654,11,10,492,0,5
2016,"mercedes",1,"1",1,1,21,21,19,9204,36,20,1077,20,10
2016,"honda",6,"6",3,5,21,21,0,2213,0,0,76,0,1
2016,"tag-heuer",2,"2",1,1,21,21,2,2404,16,14,468,1,5
2016,"renault",9,"9",12,7,21,21,0,2038,0,0,8,0,0
2017,"ferrari",2,"2",1,1,20,20,5,6180,20,15,574,5,7
2017,"honda",9,"9",6,6,20,20,0,1838,0,0,30,0,1
2017,"mercedes",1,"1",1,1,20,20,12,6783,27,19,938,15,10
2017,"tag-heuer",3,"3",2,1,20,20,3,1723,13,11,368,0,2
2017,"renault",6,"6",5,6,20,20,0,1910,0,0,57,0,0
2017,"toro-rosso",7,"7",6,4,20,20,0,1873,0,0,53,0,0
2018,"ferrari",2,"2",1,1,21,21,6,6759,24,19,712,6,5
2018,"tag-heuer",3,"3",1,1,21,21,4,2161,13,13,419,2,6
2018,"renault",4,"4",5,5,21,21,0,4316,0,0,184,0,0
2018,"mercedes",1,"1",1,1,21,21,11,6979,26,19,773,13,10
2018,"honda",9,"9",5,4,21,21,0,2031,0,0,33,0,0
2019,"ferrari",2,"2",1,1,21,21,3,6999,19,17,589,9,7
2019,"honda",3,"3",1,1,21,21,3,4853,11,9,502,2,5
2019,"renault",4,"4",4,3,21,21,0,4537,1,1,236,0,0
2019,"mercedes",1,"1",1,1,21,21,15,4856,32,18,740,10,9
2019,"bwt-mercedes",7,"7",5,4,21,21,0,2380,0,0,73,0,0
2020,"ferrari",6,"6",4,2,17,17,0,5392,3,3,142,0,0
2020,"honda",2,"2",1,1,17,17,3,3639,14,13,426,1,3
2020,"bwt-mercedes",4,"4",1,1,17,17,1,1776,4,3,210,1,0
2020,"renault",3,"3",3,2,17,17,0,3737,5,5,383,0,5
2020,"mercedes",1,"1",1,1,17,17,13,3856,25,15,573,15,9
2021,"ferrari",3,"3",1,2,22,22,0,7020,5,5,336.5,2,0
2021,"renault",5,"5",3,1,22,22,1,2409,2,2,155,0,0
2021,"mercedes",1,"1",1,1,22,22,10,9658,35,22,988.5,10,12
2021,"honda",2,"2",1,1,22,22,11,4601,24,19,727.5,10,9
2022,"ferrari",2,"2",1,1,22,22,4,6692,20,16,646,13,6
2022,"mercedes",3,"3",1,1,22,22,1,9684,18,15,737,1,8
2022,"renault",4,"4",2,4,22,22,0,2361,0,0,173,0,0
2022,"rbpt",1,"1",1,1,22,22,17,4792,28,20,794,8,8
2023,"ferrari",3,"3",1,1,22,22,1,7285,9,9,434,7,1
2023,"mercedes",2,"2",1,2,22,22,0,9728,25,17,1019,1,9
2023,"renault",6,"6",3,3,22,22,0,2360,2,2,120,0,0
2023,"honda-rbpt",1,"1",1,1,22,22,21,5013,30,21,885,14,12
2024,"mercedes",1,"1",1,1,24,24,10,10599,30,19,1245,12,13
2024,"renault",6,"6",3,2,24,24,0,2555,2,1,65,0,1
2024,"ferrari",2,"2",1,1,24,24,5,8135,22,17,714,4,5
2024,"honda-rbpt",3,"3",1,1,24,24,9,5255,18,14,635,8,5
2025,"mercedes",,,,,0,0,0,0,0,0,0,0,0
2025,"renault",,,,,0,0,0,0,0,0,0,0,0
2025,"ferrari",,,,,0,0,0,0,0,0,0,0,0
2025,"honda-rbpt",,,,,0,0,0,0,0,0,0,0,0
